Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
(Intercept)	34747.4598200296	1	994.701315078644	4.44806719718657e-68	NA	NA	NA	NA	2015	Feces	faith_pd
Age_num	164.541181696281	1	4.71025308513461	0.0315567400260541	0.0304456426849915	0.95	0	0.10263621886195	2015	Feces	faith_pd
Expo	802.821614931969	1	22.9820458900443	3.90165405730375e-06	0.132857984028312	0.95	0.0480961195792184	0.236691830769273	2015	Feces	faith_pd
Gender	207.051245325171	1	5.92717128332069	0.0160829612853816	0.0380124338467667	0.95	0.00110137657625659	0.114763872349268	2015	Feces	faith_pd
Residuals	5239.88346450749	150	NA	NA	NA	NA	NA	NA	2015	Feces	faith_pd
(Intercept)	32381.5152910063	1	1138.46430052754	5.22016984848364e-78	NA	NA	NA	NA	2016	Feces	faith_pd
Age_num	50.5026387470616	1	1.77556395305371	0.184447447165612	0.010159108704296	0.95	0	0.0590694357930693	2016	Feces	faith_pd
Expo	456.154431521582	1	16.0374068707955	9.20526496560287e-05	0.0848372136301935	0.95	0.022473694198322	0.172436154270653	2016	Feces	faith_pd
Gender	62.1781631529484	1	2.18605023223447	0.141084452772766	0.0124784492220502	0.95	0	0.0641113847007796	2016	Feces	faith_pd
Residuals	4920.66562188051	173	NA	NA	NA	NA	NA	NA	2016	Feces	faith_pd
(Intercept)	34.3015137651627	1	6171.8013923886	9.16424088982232e-124	NA	NA	NA	NA	2015	Feces	pielou_e
Age_num	0.00174843793737789	1	0.314592871040388	0.57571227894091	0.00209289640501031	0.95	0	0.0400732651074896	2015	Feces	pielou_e
Expo	0.00920308014924742	1	1.65589143581984	0.200141297941171	0.0109187412380917	0.95	0	0.06578388096048	2015	Feces	pielou_e
Gender	0.00713186775283348	1	1.28322241486535	0.259108193408283	0.0084822519931943	0.95	0	0.060021273747105	2015	Feces	pielou_e
Residuals	0.833666985966167	150	NA	NA	NA	NA	NA	NA	2015	Feces	pielou_e
(Intercept)	34.0333585767904	1	6738.75983503582	1.79597668683678e-140	NA	NA	NA	NA	2016	Feces	pielou_e
