Factors	Sum Sq	Df	F value	p_value	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice	q_value
(Intercept)	8552.43733510959	1	241.612583169373	1.04890933174281e-26	NA	NA	NA	NA	2015	Feces	faith_pd	1.27693309951299e-25
Age_num	429.601364031427	1	12.1365513981155	0.000780098534714705	0.123670041643103	0.95	0.0237526049012795	0.26035615357628	2015	Feces	faith_pd	0.00520065689809804
Age_num:Expo	25.1853044137042	1	0.71150319129747	0.401285328167857	0.0082054071848783	0.95	0	0.0836943618915374	2015	Feces	faith_pd	0.693579579549383
Age_num:Gender	23.1912340841941	1	0.65516925227444	0.420504427942358	0.007560648232849	0.95	0	0.0817863993737512	2015	Feces	faith_pd	0.713583271659759
Expo	63.830116805163	1	1.80324728507358	0.182853908587583	0.0205373644008737	0.95	0	0.112948547577391	2015	Feces	faith_pd	0.511990944045231
Expo:Gender	23.890227286844	1	0.674916319302546	0.413614493619969	0.00778675478400482	0.95	0	0.0824634118340778	2015	Feces	faith_pd	0.70617108666824
Gender	81.1489318557628	1	2.29251642296366	0.133665695041114	0.0259650139767385	0.95	0	0.123604799671248	2015	Feces	faith_pd	0.415153397376928
Residuals	3044.16931093288	86	NA	NA	NA	NA	NA	NA	2015	Feces	faith_pd	NA
(Intercept)	7824.89195855724	1	321.161602129989	1.33320057544903e-31	NA	NA	NA	NA	2016	Feces	faith_pd	1.96471663750383e-30
Age_num	1.47653018547999	1	0.0606020891372762	0.806101257936197	0.000665513819883973	0.95	0	0.0439258172654619	2016	Feces	faith_pd	0.91379899685075
Age_num:Expo	5.74805275844801	1	0.235920680158661	0.628335537637726	0.00258583108933286	0.95	0	0.0601983887434195	2016	Feces	faith_pd	0.820349186508367
Age_num:Gender	0.128851783915707	1	0.00528853888064488	0.942186673279238	5.81124346239002e-05	0.95	0	0.0181821044440664	2016	Feces	faith_pd	0.967587610190413
Expo	63.8478906686496	1	2.62054619646719	0.108949000172359	0.0279911440696772	0.95	0	0.12396143051171	2016	Feces	faith_pd	0.372020976198297
Expo:Gender	0.0846615224641027	1	0.00347481221943268	0.953123149835329	3.81832916446626e-05	0.95	0	0.013643900665164	2016	Feces	faith_pd	0.973994459685738
Gender	5.81928212415187	1	0.238844188537986	0.626217888934954	0.00261779059853535	0.95	0	0.0603691074892433	2016	Feces	faith_pd	0.820349186508367
Residuals	2217.15536199282	91	NA	NA	NA	NA	NA	NA	2016	Feces	faith_pd	NA
(Intercept)	11.5435629823342	1	2333.58412178697	4.20424013139886e-64	NA	NA	NA	NA	2015	Feces	pielou_e	2.61495928523795e-62
Age_num	0.00013862234992823	1	0.0280231428729903	0.867447436259045	0.000325744354562818	0.95	0	0.0394794888644536	2015	Feces	pielou_e	0.934174162125125
Age_num:Expo	0.000380574001190792	1	0.0769347772176474	0.78216075395165	0.00089379085601466	0.95	0	0.049120116106979	2015	Feces	pielou_e	0.900874417513156
Age_num:Gender	0.0226353024869373	1	4.57583005837951	0.0352604791648458	0.0505193278982949	0.95	0	0.164764230792794	2015	Feces	pielou_e	0.1542645963462
Expo	0.000902919995766749	1	0.182529412157214	0.670276233652995	0.00211793983539621	0.95	0	0.0598797280987675	2015	Feces	pielou_e	0.853078842831085
Expo:Gender	0.00152508757597297	1	0.308303437774933	0.58016458896939	0.00357211792486696	0.95	0	0.0675450619778527	2015	Feces	pielou_e	0.812230424557146
Gender	0.0107668735386686	1	2.1765727938225	0.143778045413492	0.0246842525725267	0.95	0	0.1211648393276	2015	Feces	pielou_e	0.434984006465751
Residuals	0.425417025772587	86	NA	NA	NA	NA	NA	NA	2015	Feces	pielou_e	NA
(Intercept)	9.26146416985829	1	1880.57418450568	1.42445315421186e-62	NA	NA	NA	NA	2016	Feces	pielou_e	6.64744805298869e-61
Age_num	0.00454944116238093	1	0.92378067301123	0.339031178714357	0.0100494199242879	0.95	0	0.0858039579921052	2016	Feces	pielou_e	0.668512183380422
Age_num:Expo	0.00118855575271104	1	0.24134059414369	0.624422304837921	0.00264507944065851	0.95	0	0.0605138007628218	2016	Feces	pielou_e	0.820349186508367
Age_num:Gender	0.00678847049474268	1	1.378423770859	0.243433284635828	0.0149214904800511	0.95	0	0.0976380003454	2016	Feces	pielou_e	0.597802727388881
Expo	0.00156377534051383	1	0.317530304258779	0.57448159221032	0.00347721081812886	0.95	0	0.06452133596853	2016	Feces	pielou_e	0.812230424557146
Expo:Gender	0.00567721426399942	1	1.15277912746577	0.285806974429389	0.012509434206767	0.95	0	0.0920021984072292	2016	Feces	pielou_e	0.645370587421202
