Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
(Intercept)	2882.10528001416	1	101.022544132533	1.08420210302557e-13	NA	NA	NA	NA	2015	Feces	faith_pd
Age_num	488.144943704312	1	17.1102854779127	0.00013193214389047	0.251214414355396	0.95	0.0728474119747091	0.43264377391067	2015	Feces	faith_pd
Age_num:Gender	0.17967273862746	1	0.00629782586128029	0.937057780476731	0.000123471534491318	0.95	0	0.0350163952172548	2015	Feces	faith_pd
Age_num:Urban	1.39887138505014	1	0.0490327495015282	0.825639220168542	0.00096050300780688	0.95	0	0.0799174170668025	2015	Feces	faith_pd
Gender	22.5467049736071	1	0.790299200391542	0.378183689249113	0.0152595990483401	0.95	0	0.14079953915123	2015	Feces	faith_pd
Residuals	1454.99571944938	51	NA	NA	NA	NA	NA	NA	2015	Feces	faith_pd
Urban	37.5998185706364	1	1.31793566226307	0.256319408575604	0.0251908957335582	0.95	0	0.159828958765478	2015	Feces	faith_pd
Urban:Gender	27.4597333026416	1	0.962508947424735	0.331186869033049	0.0185231422985867	0.95	0	0.14531278797986	2015	Feces	faith_pd
(Intercept)	2294.07767979001	1	87.2531306670621	1.84103344827064e-12	NA	NA	NA	NA	2016	Feces	faith_pd
Age_num	25.6488698330597	1	0.975531129883658	0.328156851075183	0.0195201753303693	0.95	0	0.150953863918956	2016	Feces	faith_pd
Age_num:Gender	0.704466102204606	1	0.0267937190652589	0.870650164706569	0.000546511754751759	0.95	0	0.0634076417287773	2016	Feces	faith_pd
Age_num:Urban	4.53785270037474	1	0.172593046042766	0.679631174950308	0.00350994396169342	0.95	0	0.0992973209551177	2016	Feces	faith_pd
Gender	5.85188702633195	1	0.222571130810254	0.639181899304645	0.00452172907056736	0.95	0	0.104936241320624	2016	Feces	faith_pd
Residuals	1288.31831534665	49	NA	NA	NA	NA	NA	NA	2016	Feces	faith_pd
Urban	9.36035346953508	1	0.3560124190921	0.553476123139924	0.00721315198782926	0.95	0	0.116540629355522	2016	Feces	faith_pd
Urban:Gender	0.0457484920880233	1	0.00174000174150282	0.966896739681792	3.55089786901644e-05	0.95	0	0.0113302312727322	2016	Feces	faith_pd
(Intercept)	5.36959604846388	1	1047.98141682278	1.13170254968493e-35	NA	NA	NA	NA	2015	Feces	pielou_e
Age_num	0.00675514665019383	1	1.31839864552586	0.256236952931099	0.0251995221501032	0.95	0	0.159846634548212	2015	Feces	pielou_e
Age_num:Gender	0.0153036806325521	1	2.9868118136174	0.0899962331193985	0.0553248416285257	0.95	0	0.21237611153999	2015	Feces	pielou_e
Age_num:Urban	0.00381766888418844	1	0.745092556330489	0.39207568975197	0.0143992892759709	0.95	0	0.13522564666885	2015	Feces	pielou_e
Gender	0.0156009225194803	1	3.04482436632911	0.0870183354004639	0.0563388705954624	0.95	0	0.213926033369398	2015	Feces	pielou_e
Residuals	0.261311311513425	51	NA	NA	NA	NA	NA	NA	2015	Feces	pielou_e
