gene_by_taxon	geneID	taxon	term	Estimate	Std.Error	t.value	p.value	fdr
K00003 msi	K00003	msi	MediumUrban	-2.586301591000763	0.6559900032991574	-3.9425929937857718	1.65005916884673e-4	0.0019153645495807877
K00005 sutt	K00005	sutt	MediumUrban	1.7676131887064594	0.5838333319791267	3.027598959988217	0.003262766013141629	0.011988651045200955
K00014 msi	K00014	msi	MediumUrban	-1.5883029190568636	0.6809324794691005	-2.3325409889321307	0.022035990657986535	0.04973241114375918
K00021 msi	K00021	msi	MediumUrban	-2.184124572355263	0.6923276709949079	-3.15475556424976	0.002221397196793541	0.009150772881601075
K00029 sutt	K00029	sutt	MediumUrban	1.6007787380083298	0.686690026465223	2.3311518681120678	0.02211280238599364	0.049765569586614454
K00052 msi	K00052	msi	MediumUrban	-1.8155704681548162	0.6957457304036502	-2.609531598708451	0.010712143832704022	0.028145628692750016
K00057 msi	K00057	msi	MediumUrban	-2.1643864480823947	0.6624908943268973	-3.267043315789948	0.0015685210982857793	0.007265853570074788
K00058 msi	K00058	msi	MediumUrban	-3.145561739556938	0.6626644265501273	-4.746839597129019	8.279876155983917e-6	4.7507221441514714e-4
K00059 sutt	K00059	sutt	MediumUrban	1.7849745753728148	0.6609319442689521	2.700693453918544	0.008349767988055786	0.023471769728330837
K00075 sutt	K00075	sutt	MediumUrban	2.308958486447551	0.6017314827791568	3.8371907612069696	2.384828251367067e-4	0.0022988971929169986
K00077 msi	K00077	msi	MediumUrban	-2.1772902019917666	0.6246091019879619	-3.4858444986825208	7.786173785943839e-4	0.004646335785546938
K00088 mmil	K00088	mmil	MediumUrban	-1.7656443978665073	0.49989038947257086	-3.532063098331257	6.690858604681122e-4	0.004214532893583532
K00088 msi	K00088	msi	MediumUrban	-2.5083010506551227	0.6729387249992037	-3.727384020971732	3.477826856031419e-4	0.002777730043368923
K00088 sutt	K00088	sutt	MediumUrban	1.7449123955758863	0.676369529586972	2.5798211173726653	0.011603806498108946	0.029901150727269916
K00096 msi	K00096	msi	MediumUrban	-1.6703835024923193	0.6737174778151903	-2.4793530782505955	0.015136835596726994	0.037141018476434175
