Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Bacteroidaceae.D_5_Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	1.13403962702295	TRUE	1	Feces	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Ruminococcaceae.D_5_Ruminococcaceae.UCG.010	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae.UCG.010	-1.256360289968	FALSE	2	Feces	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Clostridiales.vadinBB60.group.D_5_uncultured.bacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales.vadinBB60.group	uncultured.bacterium	-1.29419156389916	FALSE	3	Feces	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Lachnospiraceae.D_5_Agathobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	-2.14044563971459	FALSE	4	Feces	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Lachnospiraceae.D_5_Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	-1.7205164480218	FALSE	5	Feces	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Tannerellaceae.D_5_Parabacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	1.0375233895316	TRUE	6	Feces	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Pasteurellales.D_4_Pasteurellaceae.D_5_Haemophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	1.02949496157734	TRUE	7	Feces	2015
D_0_Bacteria.D_1_Tenericutes.D_2_Mollicutes.D_3_Mollicutes.RF39.D_4_uncultured.bacterium.D_5_uncultured.bacterium	Bacteria	Tenericutes	Mollicutes	Mollicutes.RF39	uncultured.bacterium	uncultured.bacterium	-1.46287546668226	FALSE	8	Feces	2015
D_0_Bacteria.D_1_Tenericutes.D_2_Mollicutes.D_3_Mollicutes.RF39.D_4_.D_5_	Bacteria	Tenericutes	Mollicutes	Mollicutes.RF39			-1.54647076526383	FALSE	9	Feces	2015
D_0_Bacteria.D_1_Tenericutes.D_2_Mollicutes.D_3_Mollicutes.RF39.D_4_metagenome.D_5_metagenome	Bacteria	Tenericutes	Mollicutes	Mollicutes.RF39	metagenome	metagenome	-1.30460209901924	FALSE	10	Feces	2015
