Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Streptococcaceae.D_5_Streptococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.298149868271463	TRUE	1	Mouth	2015
D_0_Bacteria.D_1_Fusobacteria.D_2_Fusobacteriia.D_3_Fusobacteriales.D_4_Fusobacteriaceae.D_5_Fusobacterium	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	-1.64979570945964	FALSE	2	Mouth	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Flavobacteriales.D_4_Weeksellaceae.D_5_Bergeyella	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	0.966742976870616	TRUE	3	Mouth	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Rothia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	0.317881635127159	TRUE	4	Mouth	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_Corynebacterium	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	-2.11277612686135	FALSE	5	Mouth	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Prevotellaceae.D_5_Prevotella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	-2.12800690512972	FALSE	6	Mouth	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Prevotellaceae.D_5_Prevotella.7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella.7	-2.20146304292625	FALSE	7	Mouth	2015
D_0_Bacteria.D_1_Epsilonbacteraeota.D_2_Campylobacteria.D_3_Campylobacterales.D_4_Campylobacteraceae.D_5_Campylobacter	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	-2.30746028228152	FALSE	8	Mouth	2015
D_0_Bacteria.D_1_Spirochaetes.D_2_Spirochaetia.D_3_Spirochaetales.D_4_Spirochaetaceae.D_5_Treponema.2	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema.2	-2.63978165701631	FALSE	9	Mouth	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Tannerellaceae.D_5_Tannerella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	-1.77411546123805	FALSE	10	Mouth	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Lachnospiraceae.D_5_Lachnoanaerobaculum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	-1.83537892163413	FALSE	11	Mouth	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Cardiobacteriales.D_4_Cardiobacteriaceae.D_5_Suttonella	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Suttonella	0.104117024422813	TRUE	12	Mouth	2015
D_0_Bacteria.D_1_Cyanobacteria.D_2_Oxyphotobacteria.D_3_Chloroplast.D_4_.D_5_	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			0.532376032866864	TRUE	13	Mouth	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Pseudomonadales.D_4_Pseudomonadaceae.D_5_Pseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.433483344540933	TRUE	14	Mouth	2015
D_0_Bacteria.D_1_Patescibacteria.D_2_Gracilibacteria.D_3_JGI.0000069.P22.D_4_uncultured.bacterium.D_5_uncultured.bacterium	Bacteria	Patescibacteria	Gracilibacteria	JGI.0000069.P22	uncultured.bacterium	uncultured.bacterium	0.22428219593816	TRUE	15	Mouth	2015
