Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermabacteraceae.D_5_Brachybacterium	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	-0.814906558489579	FALSE	1	Nose	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		-0.567752253114757	FALSE	2	Nose	2016
D_0_Bacteria.D_1_Cyanobacteria.D_2_Oxyphotobacteria.D_3_Chloroplast.D_4_.D_5_	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			1.64363906560881	TRUE	3	Nose	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Nesterenkonia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	-1.59294082668841	FALSE	4	Nose	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Staphylococcaceae.D_5_	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		-0.938235273627915	FALSE	5	Nose	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_Lautropia	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Lautropia	1.2548988798158	TRUE	6	Nose	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermacoccaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae		1.88175364128257	TRUE	7	Nose	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Propionibacteriales.D_4_Nocardioidaceae.D_5_Nocardioides	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	-0.601783764436728	FALSE	8	Nose	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Dietziaceae.D_5_Dietzia	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	-0.885936424918294	FALSE	9	Nose	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Ornithinicoccus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinicoccus	-0.735463570969593	FALSE	10	Nose	2016
D_0_Archaea.D_1_Euryarchaeota.D_2_Halobacteria.D_3_Halobacteriales.D_4_Halococcaceae.D_5_Halococcus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	0.861117680259378	TRUE	11	Nose	2016
