Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_Massilia	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	2.21926155083471	TRUE	1	Right_Arm	2016
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Flavobacteriales.D_4_Weeksellaceae.D_5_Chryseobacterium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	1.73004027809415	TRUE	2	Right_Arm	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermacoccaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae		2.3504818307234	TRUE	3	Right_Arm	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		2.85011341945536	TRUE	4	Right_Arm	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_Roseomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	2.37780558411242	TRUE	5	Right_Arm	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Nesterenkonia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	-2.32133691266962	FALSE	6	Right_Arm	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Dietziaceae.D_5_Dietzia	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	-2.27032415294168	FALSE	7	Right_Arm	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Ornithinimicrobium	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	-1.42740512513187	FALSE	8	Right_Arm	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Staphylococcaceae.D_5_	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		-3.20779051056542	FALSE	9	Right_Arm	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Carnobacteriaceae.D_5_	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae		-1.79691632695566	FALSE	10	Right_Arm	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Staphylococcaceae.D_5_Salinicoccus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus	-1.50672379900363	FALSE	11	Right_Arm	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Enterococcaceae.D_5_Enterococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	-1.55667258391569	FALSE	12	Right_Arm	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Carnobacteriaceae.D_5_Dolosigranulum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum	-1.5392105587772	FALSE	13	Right_Arm	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Ornithinicoccus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinicoccus	-2.40928185077824	FALSE	14	Right_Arm	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Streptomycetales.D_4_Streptomycetaceae.D_5_Streptomyces	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	-2.30376988054178	FALSE	15	Right_Arm	2016
D_0_Bacteria.D_1_Chloroflexi.D_2_Chloroflexia.D_3_Thermomicrobiales.D_4_JG30.KF.CM45.D_5_	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30.KF.CM45		-1.40730001168495	FALSE	16	Right_Arm	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_Lampropedia	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Lampropedia	-2.52823329878804	FALSE	17	Right_Arm	2016
