Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermabacteraceae.D_5_Brachybacterium	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	-0.781958801366143	FALSE	1	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		-0.956843927224943	FALSE	2	Right_Hand	2015
D_0_Bacteria.D_1_Cyanobacteria.D_2_Oxyphotobacteria.D_3_Chloroplast.D_4_.D_5_	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			2.04218803294867	TRUE	3	Right_Hand	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Bacillaceae.D_5_Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1.86485920309481	TRUE	4	Right_Hand	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Rickettsiales.D_4_Mitochondria.D_5_	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		1.71740190931322	TRUE	5	Right_Hand	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Leuconostocaceae.D_5_Weissella	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	-0.890707506094092	FALSE	6	Right_Hand	2015
D_0_Bacteria.D_1_Deinococcus.Thermus.D_2_Deinococci.D_3_Deinococcales.D_4_Deinococcaceae.D_5_Deinococcus	Bacteria	Deinococcus.Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	-0.984192857753626	FALSE	7	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Nesterenkonia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	-4.08721125487369	FALSE	8	Right_Hand	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Staphylococcaceae.D_5_	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		-4.87809943059094	FALSE	9	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Dietziaceae.D_5_Dietzia	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	-2.44345734300657	FALSE	10	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Glutamicibacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	-2.37287306716915	FALSE	11	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Ornithinicoccus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinicoccus	-3.81541756711525	FALSE	12	Right_Hand	2015
D_0_Bacteria.D_1_Chloroflexi.D_2_Chloroflexia.D_3_Thermomicrobiales.D_4_JG30.KF.CM45.D_5_	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30.KF.CM45		-2.72268970885475	FALSE	13	Right_Hand	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Aerococcaceae.D_5_Aerococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	-2.51685506693358	FALSE	14	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae		-2.89859892485766	FALSE	15	Right_Hand	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Sphingobacteriales.D_4_Sphingobacteriaceae.D_5_Sphingobacterium	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	-0.944384118678439	FALSE	16	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Streptomycetales.D_4_Streptomycetaceae.D_5_Streptomyces	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	-2.04398813407568	FALSE	17	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Propionibacteriales.D_4_Nocardioidaceae.D_5_Aeromicrobium	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	-1.90896484097009	FALSE	18	Right_Hand	2015
D_0_Bacteria.D_1_Chloroflexi.D_2_Chloroflexia.D_3_Thermomicrobiales.D_4_JG30.KF.CM45.D_5_uncultured.bacterium	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30.KF.CM45	uncultured.bacterium	-0.941079596803913	FALSE	19	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Streptosporangiales.D_4_Nocardiopsaceae.D_5_Nocardiopsis	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	-1.83930902364164	FALSE	20	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Cellulomonadaceae.D_5_Pseudactinotalea	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Pseudactinotalea	-1.73989586124957	FALSE	21	Right_Hand	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Rhodobacterales.D_4_Rhodobacteraceae.D_5_	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		-1.51696264693451	FALSE	22	Right_Hand	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		1.99024249712176	TRUE	23	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Thermoleophilia.D_3_Solirubrobacterales.D_4_Solirubrobacteraceae.D_5_Conexibacter	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	1.87234952837765	TRUE	24	Right_Hand	2015
D_0_Bacteria.D_1_Acidobacteria.D_2_Acidobacteriia.D_3_Solibacterales.D_4_Solibacteraceae..Subgroup.3..D_5_Bryobacter	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae..Subgroup.3.	Bryobacter	2.48848080378475	TRUE	25	Right_Hand	2015
D_0_Bacteria.D_1_Planctomycetes.D_2_Planctomycetacia.D_3_Gemmatales.D_4_Gemmataceae.D_5_uncultured	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	1.90944408649782	TRUE	26	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Terrabacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	2.53942670753758	TRUE	27	Right_Hand	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Chitinophagales.D_4_Chitinophagaceae.D_5_Flavisolibacter	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	2.80470468586104	TRUE	28	Right_Hand	2015
D_0_Archaea.D_1_Euryarchaeota.D_2_Halobacteria.D_3_Halobacteriales.D_4_Halococcaceae.D_5_Halococcus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	5.2777041012712	TRUE	29	Right_Hand	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_Roseomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	2.93429141010457	TRUE	30	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Janibacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	3.46765103717448	TRUE	31	Right_Hand	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermacoccaceae.D_5_Flexivirga	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Flexivirga	1.96632948645098	TRUE	32	Right_Hand	2015
