Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
(Intercept)	32598.3331101106	1	955.989341883057	3.2884198720574e-66	NA	NA	NA	NA	2015	Feces	faith_pd
Age_num	274.603726188183	1	8.05311837849324	0.00518497249635968	0.0519378033973824	0.95	0.00482292739485201	0.136459063335108	2015	Feces	faith_pd
Age_num:Expo	110.80280009028	1	3.24943903049609	0.0734965105886985	0.0216269628123973	0.95	0	0.0881766181978397	2015	Feces	faith_pd
Age_num:Gender	75.8392070890632	1	2.224085306114	0.138015926882648	0.014904331975308	0.95	0	0.0751521913129082	2015	Feces	faith_pd
Expo	631.895104247799	1	18.5311617869694	3.03755241416737e-05	0.11194968721852	0.95	0.0340742482446004	0.213585383435169	2015	Feces	faith_pd
Expo:Gender	87.1246185514428	1	2.55504496102512	0.112089941825648	0.0170843114098289	0.95	0	0.0795444947475695	2015	Feces	faith_pd
Gender	195.649821666826	1	5.73769044027577	0.0178634202581765	0.0375656488175022	0.95	0.000842628522743256	0.114989172061783	2015	Feces	faith_pd
Residuals	5012.56107913015	147	NA	NA	NA	NA	NA	NA	2015	Feces	faith_pd
(Intercept)	26378.8012877237	1	931.505147101047	6.93938779926347e-71	NA	NA	NA	NA	2016	Feces	faith_pd
Age_num	83.7775440683017	1	2.95840636046742	0.0872519100666015	0.0171047272157545	0.95	0	0.0740047756985604	2016	Feces	faith_pd
Age_num:Expo	50.7706604779887	1	1.79284612068312	0.182367424017076	0.0104360930106697	0.95	0	0.0602743271767877	2016	Feces	faith_pd
Age_num:Gender	19.9610781724396	1	0.704878392937708	0.402328445096666	0.00412922231381801	0.95	0	0.0440223425595734	2016	Feces	faith_pd
Expo	372.94640315638	1	13.1697225489418	0.000376071456003279	0.0718990145624256	0.95	0.0153206741960401	0.156745446132043	2016	Feces	faith_pd
Expo:Gender	30.732330805381	1	1.08523977323212	0.299007567231132	0.00634326944083881	0.95	0	0.0503699737083738	2016	Feces	faith_pd
Gender	86.2367835312953	1	3.04524860143	0.0827806922625291	0.0175979902715736	0.95	0	0.0749468827263798	2016	Feces	faith_pd
Residuals	4814.14003225746	170	NA	NA	NA	NA	NA	NA	2016	Feces	faith_pd
(Intercept)	33.1568343737232	1	5868.09192104405	2.22003523430989e-120	NA	NA	NA	NA	2015	Feces	pielou_e
Age_num	0.00299680583897	1	0.530374279232579	0.467608065950852	0.00359501751299521	0.95	0	0.0466889557884654	2015	Feces	pielou_e
Age_num:Expo	0.00256964251212888	1	0.454774973250909	0.501135222152427	0.00308416579478967	0.95	0	0.044821942277249	2015	Feces	pielou_e
Age_num:Gender	0.000559825313257489	1	0.099077805827135	0.753385459242962	0.000673544710850731	0.95	0	0.0311788638221158	2015	Feces	pielou_e
Expo	0.000646885129501285	1	0.114485639958389	0.735576748630598	0.00077820779823529	0.95	0	0.0322543885247658	2015	Feces	pielou_e
Expo:Gender	0.000151264993971778	1	0.0267708575269182	0.87025659246564	0.000182081517337138	0.95	0	0.0221058905435683	2015	Feces	pielou_e
Gender	0.00156848957145739	1	0.277591065503079	0.599078641845759	0.00188481535782058	0.95	0	0.0396436925637734	2015	Feces	pielou_e
Residuals	0.830602982795492	147	NA	NA	NA	NA	NA	NA	2015	Feces	pielou_e
(Intercept)	28.6038963723376	1	5625.09031830261	3.31517584634723e-132	NA	NA	NA	NA	2016	Feces	pielou_e
Age_num	0.000261374599358155	1	0.0514005403026717	0.820916294176551	0.000302264727837332	0.95	0	0.0230225118009922	2016	Feces	pielou_e
Age_num:Expo	0.000360121046431017	1	0.0708194920484734	0.790469799443726	0.000416411776341117	0.95	0	0.0249685504284785	2016	Feces	pielou_e
Age_num:Gender	0.0091898075378456	1	1.80721873465434	0.180633358646417	0.0105188754463541	0.95	0	0.0604594167986314	2016	Feces	pielou_e
Expo	0.0202914486530716	1	3.99040850508437	0.0473548986659054	0.022934646451892	0.95	0	0.0846930675592309	2016	Feces	pielou_e
Expo:Gender	2.73255561307195e-05	1	0.00537369871685714	0.941649181959547	3.16089932920614e-05	0.95	0	0.00989096146769093	2016	Feces	pielou_e
Gender	0.00700501629714223	1	1.37756929474523	0.242157336790429	0.00803821235424344	0.95	0	0.0546787392574245	2016	Feces	pielou_e
Residuals	0.864459432318005	170	NA	NA	NA	NA	NA	NA	2016	Feces	pielou_e
(Intercept)	1875.56236921316	1	2791.18461753072	1.66934599908477e-97	NA	NA	NA	NA	2015	Feces	shannon
Age_num	0.537772047106841	1	0.800304532795855	0.372464749404894	0.00541476917334952	0.95	0	0.0525063002602391	2015	Feces	shannon
Age_num:Expo	0.0260222644196091	1	0.0387259551340866	0.84426438533638	0.000263372488319186	0.95	0	0.0245925957107183	2015	Feces	shannon
Age_num:Gender	0.0306851881629342	1	0.045665250376264	0.831081569037947	0.000310551489556045	0.95	0	0.0257146945417007	2015	Feces	shannon
Expo	2.70653352116567	1	4.027823790407	0.0465890601801335	0.026669415537608	0.95	0	0.0971388367775535	2015	Feces	shannon
Expo:Gender	0.257228882407546	1	0.382804278623785	0.537063812090705	0.00259734695982648	0.95	0	0.0428883711670377	2015	Feces	shannon
Gender	1.21839744089336	1	1.81320133677401	0.180197204841344	0.0121844118699565	0.95	0	0.069370855538646	2015	Feces	shannon
Residuals	98.7780122255921	147	NA	NA	NA	NA	NA	NA	2015	Feces	shannon
(Intercept)	1582.13079065011	1	2984.56392040776	9.46842108314207e-110	NA	NA	NA	NA	2016	Feces	shannon
Age_num	0.341001399784318	1	0.64327202315974	0.423648157348246	0.00376968875205601	0.95	0	0.0428721194179807	2016	Feces	shannon
Age_num:Expo	0.434012882615875	1	0.818730788947758	0.366832046319478	0.0047929801677272	0.95	0	0.0460412180896795	2016	Feces	shannon
Age_num:Gender	1.10707492989937	1	2.08840881707883	0.150261382002146	0.0121356739331509	0.95	0	0.0639876106047453	2016	Feces	shannon
Expo	4.74534810480516	1	8.95172183429739	0.00318474723836523	0.0500231109404264	0.95	0.00586401680256837	0.127009144516217	2016	Feces	shannon
Expo:Gender	0.246306381647244	1	0.464637401898032	0.496392185499562	0.00272571137908547	0.95	0	0.0392137423695516	2016	Feces	shannon
Gender	1.35884875096112	1	2.56336010864387	0.111222551299261	0.01485460243142	0.95	0	0.0695975745807158	2016	Feces	shannon
Residuals	90.1177664755034	170	NA	NA	NA	NA	NA	NA	2016	Feces	shannon
(Intercept)	2443538.34040905	1	399.619260988546	9.17229503528894e-44	NA	NA	NA	NA	2015	Feces	observed_otus
Age_num	41239.3335814363	1	6.74433125805382	0.0103602168327359	0.0438671865353769	0.95	0.0024124037110688	0.124635920234699	2015	Feces	observed_otus
Age_num:Expo	7078.99452370999	1	1.15770745779802	0.283704245812422	0.00781402113776488	0.95	0	0.0590619797484798	2015	Feces	observed_otus
