Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Rikenellaceae.D_5_Rikenellaceae.RC9.gut.group	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae.RC9.gut.group	-1.35034409367834	FALSE	1	Feces	2016
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Prevotellaceae.D_5_Prevotellaceae.UCG.003	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae.UCG.003	-1.54980996229373	FALSE	2	Feces	2016
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Prevotellaceae.D_5_Prevotellaceae.NK3B31.group	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae.NK3B31.group	-1.51866072447734	FALSE	3	Feces	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_Sutterella	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella	1.28410703054909	TRUE	4	Feces	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Ruminococcaceae.D_5_Ruminococcus.2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus.2	-1.51413700211351	FALSE	5	Feces	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Lachnospiraceae.D_5_Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	-1.47334508564124	FALSE	6	Feces	2016
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_p.2534.18B5.gut.group.D_5_uncultured.bacterium	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	p.2534.18B5.gut.group	uncultured.bacterium	-1.94401367407225	FALSE	7	Feces	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Ruminococcaceae.D_5_Ruminococcaceae.UCG.013	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae.UCG.013	-1.56673467737519	FALSE	8	Feces	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Clostridiales.vadinBB60.group.D_5_	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales.vadinBB60.group		-1.40759040760654	FALSE	9	Feces	2016
D_0_Archaea.D_1_Euryarchaeota.D_2_Methanobacteria.D_3_Methanobacteriales.D_4_Methanobacteriaceae.D_5_Methanobrevibacter	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	-1.30070514480765	FALSE	10	Feces	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Lachnospiraceae.D_5_Lachnospiraceae.UCG.003	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae.UCG.003	0.841787715468379	TRUE	11	Feces	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Negativicutes.D_3_Selenomonadales.D_4_Veillonellaceae.D_5_Allisonella	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Allisonella	0.594180435290094	TRUE	12	Feces	2016
