Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_Corynebacterium.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium.1	-0.680115176278383	FALSE	1	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermabacteraceae.D_5_Brachybacterium	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	-1.13503769366606	FALSE	2	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		-1.50399033800478	FALSE	3	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Micrococcus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	-0.831315607661708	FALSE	4	Right_Arm	2015
D_0_Bacteria.D_1_Cyanobacteria.D_2_Oxyphotobacteria.D_3_Chloroplast.D_4_.D_5_	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			1.5406997949592	TRUE	5	Right_Arm	2015
D_0_Bacteria.D_1_Deinococcus.Thermus.D_2_Deinococci.D_3_Deinococcales.D_4_Deinococcaceae.D_5_Deinococcus	Bacteria	Deinococcus.Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	-1.64542235667812	FALSE	6	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Dietziaceae.D_5_Dietzia	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	-2.63612474920812	FALSE	7	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Leuconostocaceae.D_5_Weissella	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	-1.36457003913506	FALSE	8	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Leuconostocaceae.D_5_Leuconostoc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	-1.61000180588404	FALSE	9	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Lactobacillaceae.D_5_Lactobacillus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	-1.50790602234938	FALSE	10	Right_Arm	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Rickettsiales.D_4_Mitochondria.D_5_	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		1.41404927673868	TRUE	11	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Bacillaceae.D_5_Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1.45052278448923	TRUE	12	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Alicyclobacillaceae.D_5_Tumebacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	1.87518113901904	TRUE	13	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Nesterenkonia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	-4.70103262322849	FALSE	14	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Staphylococcaceae.D_5_	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		-5.8322313350487	FALSE	15	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Ornithinicoccus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinicoccus	-4.42649142636219	FALSE	16	Right_Arm	2015
