Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_Massilia	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	2.02750396754561	TRUE	1	Right_Hand	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermacoccaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae		2.16675574828029	TRUE	2	Right_Hand	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae		2.20571415815883	TRUE	3	Right_Hand	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Terrabacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	2.49517539171698	TRUE	4	Right_Hand	2016
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Chitinophagales.D_4_Chitinophagaceae.D_5_Flavisolibacter	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	2.32937074709131	TRUE	5	Right_Hand	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Betaproteobacteriales.D_4_Burkholderiaceae.D_5_	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		1.97642853372576	TRUE	6	Right_Hand	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_Roseomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	2.34689890976236	TRUE	7	Right_Hand	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Bacillaceae.D_5_Aeribacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	2.08629080219797	TRUE	8	Right_Hand	2016
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Cytophagales.D_4_Hymenobacteraceae.D_5_Hymenobacter	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	1.8239638310611	TRUE	9	Right_Hand	2016
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Clostridiaceae.1.D_5_Clostridium.sensu.stricto.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae.1	Clostridium.sensu.stricto.1	1.8266408889512	TRUE	10	Right_Hand	2016
D_0_Archaea.D_1_Euryarchaeota.D_2_Halobacteria.D_3_Halobacteriales.D_4_Halococcaceae.D_5_Halococcus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	4.40158681340579	TRUE	11	Right_Hand	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		1.81736835378617	TRUE	12	Right_Hand	2016
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermatophilaceae.D_5_Mobilicoccus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Mobilicoccus	2.00174610445506	TRUE	13	Right_Hand	2016
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Xanthomonadales.D_4_Xanthomonadaceae.D_5_Lysobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	2.0524246717834	TRUE	14	Right_Hand	2016
