Factor	Coefficient	Sum Sq	Df	F value	p_value	Omega2_partial	CI	CI_low	CI_high	Body_Site	Indice	Year
(Intercept)	16.9281548941016	2582.78461128687	1	82.995506116227	5.32152128496467e-16	NA	NA	NA	NA	Feces	faith_pd	2015
Age_num	1.14796923197518	238.462836055321	1	7.66279297229559	0.00635803764737358	0.041470665665849	0.95	0.00184245768379187	0.12069952239314	Feces	faith_pd	2015
ExpoC	-4.36599782102196	671.426019827987	1	21.5756831180215	7.45132458970858e-06	0.117861106143353	0.95	0.0379272763596033	0.220163554896582	Feces	faith_pd	2015
GenderC	2.26907095178549	193.185257888405	1	6.20783792135628	0.0138220148400277	0.0327109392938857	0.95	0	0.106944526580612	Feces	faith_pd	2015
Residuals	NA	4605.69662573236	148	NA	NA	NA	NA	NA	NA	Feces	faith_pd	2015
U1.Age_num	-1.16580105140041	244.726380362571	1	7.86406644573581	NA	0.0426699796753631	0.95	0.00215385870671976	0.122517006517794	Feces	faith_pd	2015
(Intercept)	22.5956692879821	77421.1583172237	1	2695.22141187967	3.10122794845643e-108	NA	NA	NA	NA	Feces	faith_pd	2016
ExpoC	-3.50642143952771	466.09825819604	1	16.2260295871899	8.3677499686465e-05	0.0792089896456176	0.95	0.0196527502406388	0.16479799174609	Feces	faith_pd	2016
Residuals	NA	5026.93494708665	175	NA	NA	NA	NA	NA	NA	Feces	faith_pd	2016
(Intercept)	131.742515522374	193606.274514372	1	34.1732569060551	3.09904319588076e-08	NA	NA	NA	NA	Feces	observed_otus	2015
Age_num	12.4808383573448	48084.8483859714	1	8.48741024176121	0.00413112481846814	0.0463652877369937	0.95	0.00317640975364186	0.128032270918356	Feces	observed_otus	2015
ExpoC	-48.4505583687621	83302.2810477628	1	14.7036053363771	0.000185618229852315	0.0817132422936921	0.95	0.0174257906210738	0.176192226154384	Feces	observed_otus	2015
GenderC	29.0879690815647	31963.2552130048	1	5.64180336968746	0.0188184201557723	0.0292596482836906	0.95	0	0.101248118724666	Feces	observed_otus	2015
Residuals	NA	838483.984915406	148	NA	NA	NA	NA	NA	NA	Feces	observed_otus	2015
U1.Age_num	-12.6054851340584	48536.3781101732	1	8.56710931817065	NA	0.0468357040619505	0.95	0.00331352841351332	0.128725693947351	Feces	observed_otus	2015
(Intercept)	190.374068554396	5495722.91326715	1	1582.35558784531	1.38968905283362e-89	NA	NA	NA	NA	Feces	observed_otus	2016
ExpoC	-30.2026825633383	34581.2183518991	1	9.95679457592884	0.00188698348772014	0.048165997894052	0.95	0.00552821337939499	0.123090334430703	Feces	observed_otus	2016
Residuals	NA	607797.335320417	175	NA	NA	NA	NA	NA	NA	Feces	observed_otus	2016
(Intercept)	0.709713790575757	76.3793104863091	1	15291.4503226879	2.99495863985307e-172	NA	NA	NA	NA	Feces	pielou_e	2016
ExpoC	-0.0355837096628684	0.0480011561554889	1	9.61002776942868	0.002255714774037	0.0463877295472654	0.95	0.00490426380866209	0.120526460860687	Feces	pielou_e	2016
Residuals	NA	0.874108018078075	175	NA	NA	NA	NA	NA	NA	Feces	pielou_e	2016
(Intercept)	5.5542434488262	4533.62638984321	1	6879.50883185343	7.61454967958484e-128	NA	NA	NA	NA	Feces	shannon	2015
ExpoC	-0.415609686786508	6.36764251681022	1	9.66251939741252	0.00224799542853276	0.0532545507686899	0.95	0.00558673767677304	0.13704726520396	Feces	shannon	2015
GenderC	0.251952571714105	2.41769697320623	1	3.66871158972868	0.0573332688871573	0.0170341069550459	0.95	0	0.0783732288505868	Feces	shannon	2015
Residuals	NA	99.5096600060459	151	NA	NA	NA	NA	NA	NA	Feces	shannon	2015
(Intercept)	5.33404620648877	4314.42369130266	1	8191.53901000741	6.72057783158981e-149	NA	NA	NA	NA	Feces	shannon	2016
ExpoC	-0.439899875730178	7.33595962417192	1	13.9283491230551	0.000256523282478103	0.0680696124762227	0.95	0.0139753134513814	0.150389666193039	Feces	shannon	2016
Residuals	NA	92.1712202133898	175	NA	NA	NA	NA	NA	NA	Feces	shannon	2016
