Factor	Coefficient	Sum Sq	Df	F value	p_value	Omega2_partial	CI	CI_low	CI_high	Body_Site	Indice	Expo
(Intercept)	25.5869344204316	136987.994839646	1	4213.66130282033	2.09530899964061e-141	NA	NA	NA	NA	Feces	faith_pd	Low
GenderC	1.49241482593156	118.680033525986	1	3.65052036327154	0.0574073308724664	0.0122340826083743	0.95	0	0.057284160213443	Feces	faith_pd	Low
Residuals	NA	6859.70343459233	211	NA	NA	NA	NA	NA	NA	Feces	faith_pd	Low
YearC	-2.59843790946426	353.810794620102	1	10.8829890937228	0.00113909762194845	0.044143546295005	0.95	0.00607178301880679	0.109758639800605	Feces	faith_pd	Low
(Intercept)	12.3480492730059	460.495335082949	1	17.0703686084188	6.97262697246031e-05	NA	NA	NA	NA	Feces	faith_pd	Medium
Age_num	1.93443281078116	97.2184904559517	1	3.60384859781089	0.0602196715241328	0.0217706087917521	0.95	0	0.100942788951015	Feces	faith_pd	Medium
Residuals	NA	3021.34527451588	112	NA	NA	NA	NA	NA	NA	Feces	faith_pd	Medium
U1.Age_num	-1.86920563209077	90.655635760193	1	3.36056633142286	NA	0.019776768860734	0.95	0	0.0970569774366848	Feces	faith_pd	Medium
YearC	-2.04447695248991	115.459879996462	1	4.28004924451273	0.0408640515209364	0.0272701022747741	0.95	0	0.111112968265868	Feces	faith_pd	Medium
(Intercept)	224.921697081573	10585434.7649526	1	2200.04130237225	1.40664429810588e-113	NA	NA	NA	NA	Feces	observed_otus	Low
GenderC	14.7040273416468	11520.4953777846	1	2.39438116786961	0.123270465600442	0.00647361904386396	0.95	0	0.0444832033389326	Feces	observed_otus	Low
Residuals	NA	1015220.36563433	211	NA	NA	NA	NA	NA	NA	Feces	observed_otus	Low
YearC	-40.0978226337738	84253.504163267	1	17.5109660722198	4.19148038843994e-05	0.0716276815526721	0.95	0.0192082584954416	0.146893232520972	Feces	observed_otus	Low
(Intercept)	74.0394211280111	16555.9671741995	1	3.81900485918083	0.0531671643819943	NA	NA	NA	NA	Feces	observed_otus	Medium
Age_num	24.6703401794347	15812.1836468258	1	3.64743451989885	0.0587135225820247	0.022126964364276	0.95	0	0.101624924006451	Feces	observed_otus	Medium
Residuals	NA	485537.042209493	112	NA	NA	NA	NA	NA	NA	Feces	observed_otus	Medium
U1.Age_num	-24.0388159030946	14993.6299859291	1	3.45861677367039	NA	0.0205813263209682	0.95	0	0.0986396481239839	Feces	observed_otus	Medium
YearC	-25.5518113137314	18034.7467069504	1	4.16011849886199	0.0437397646846166	0.0262992292146576	0.95	0	0.109368568355482	Feces	observed_otus	Medium
(Intercept)	0.704944145462173	57.9345882541864	1	10006.4254027486	1.15296213357491e-113	NA	NA	NA	NA	Feces	pielou_e	Medium
Residuals	NA	0.665819948790239	115	NA	NA	NA	NA	NA	NA	Feces	pielou_e	Medium
YearC	-0.0260444194357011	0.0197695998509633	1	3.41459276939902	0.0671919967217612	0.0202202487434834	0.95	0	0.0966287632360392	Feces	pielou_e	Medium
(Intercept)	5.65939152574162	6719.44426999857	1	11847.185368154	5.17572762312816e-188	NA	NA	NA	NA	Feces	shannon	Low
Residuals	NA	120.241402575577	212	NA	NA	NA	NA	NA	NA	Feces	shannon	Low
YearC	-0.210790762775529	2.33043522157382	1	4.1088365271115	0.0439116672453832	0.0143192537753906	0.95	0	0.0612737297232527	Feces	shannon	Low
(Intercept)	5.24042681492001	3201.56135455167	1	4985.0208552166	1.51444152745033e-96	NA	NA	NA	NA	Feces	shannon	Medium
Residuals	NA	73.8571746170648	115	NA	NA	NA	NA	NA	NA	Feces	shannon	Medium
YearC	-0.252661092592659	1.86056675633758	1	2.89701275587903	0.0914457172925885	0.0159550918219787	0.95	0	0.0879646439418058	Feces	shannon	Medium
(Intercept)	11.1113854050763	9307.10121999789	1	629.838578246615	2.6159817637689e-61	NA	NA	NA	NA	Mouth	faith_pd	Low
Age_num	0.115812733424635	746.310861185001	1	50.505024134558	2.53198992573625e-11	0.21020793215126	0.95	0.115571781288722	0.309229381920257	Mouth	faith_pd	Low
Residuals	NA	2718.96114913602	184	NA	NA	NA	NA	NA	NA	Mouth	faith_pd	Low
(Intercept)	10.0827280664495	5237.7966279494	1	257.905136075188	5.59848933919837e-32	NA	NA	NA	NA	Mouth	faith_pd	Medium
Age_num	0.0453799989930164	47.6981374818288	1	2.34862013773913	0.127962031847174	0.0106738018687417	0.95	0	0.0731065911417277	Mouth	faith_pd	Medium
Residuals	NA	2498.00758155493	123	NA	NA	NA	NA	NA	NA	Mouth	faith_pd	Medium
(Intercept)	78.9601731172575	469996.038714868	1	314.012508727397	1.21581259971806e-41	NA	NA	NA	NA	Mouth	observed_otus	Low
Age_num	0.746576289502205	31013.8387225906	1	20.7208837954818	9.63651574062815e-06	0.095862332650133	0.95	0.0303539812113528	0.183117266607894	Mouth	observed_otus	Low
Residuals	NA	275400.720417194	184	NA	NA	NA	NA	NA	NA	Mouth	observed_otus	Low
(Intercept)	0.638567535216758	30.7385994529256	1	3418.37008175149	2.3921881945002e-120	NA	NA	NA	NA	Mouth	pielou_e	Low
Age_num	0.000593948976152525	0.0196290936139316	1	2.18290707891627	0.141269573118866	0.00631952509647452	0.95	0	0.0480751334276463	Mouth	pielou_e	Low
Residuals	NA	1.64556895987201	183	NA	NA	NA	NA	NA	NA	Mouth	pielou_e	Low
YearC	-0.0670058539597037	0.208748354988718	1	23.2144321474724	3.0311703692623e-06	0.106690165126203	0.95	0.0369952424814605	0.196347091732911	Mouth	pielou_e	Low
(Intercept)	0.638634769900017	20.3684083140273	1	2020.08042470384	9.06483800340785e-78	NA	NA	NA	NA	Mouth	pielou_e	Medium
Age_num	-0.00153770984307589	0.0538565095832595	1	5.34133443687364	0.0225037705708724	0.0335649423734102	0.95	0	0.11754230701433	Mouth	pielou_e	Medium
Residuals	NA	1.2301222188595	122	NA	NA	NA	NA	NA	NA	Mouth	pielou_e	Medium
YearC	0.0453922294048464	0.0624066256537226	1	6.18931047096529	0.014202172856935	0.0398597277471763	0.95	0	0.127701047351889	Mouth	pielou_e	Medium
(Intercept)	3.99941349166202	1205.76596240114	1	1593.31397538027	2.99695595313848e-92	NA	NA	NA	NA	Mouth	shannon	Low
Age_num	0.0101388539206525	5.71978496531128	1	7.55819421478123	0.0065728380107202	0.0340582453087723	0.95	0.00158762390131543	0.100185349398265	Mouth	shannon	Low
Residuals	NA	138.48819161129	183	NA	NA	NA	NA	NA	NA	Mouth	shannon	Low
YearC	-0.461094779136903	9.88502970082672	1	13.0621998468195	0.000389301750238603	0.0609010697455058	0.95	0.0113419438235676	0.138842737583596	Mouth	shannon	Low
(Intercept)	3.87911909812433	751.481339035974	1	875.841719353355	1.62513802557253e-57	NA	NA	NA	NA	Mouth	shannon	Medium
Age_num	-0.00883429912340405	1.77759825405676	1	2.07176762785597	0.152608402640927	0.0085012501055721	0.95	0	0.0680330168812876	Mouth	shannon	Medium
Residuals	NA	104.677273686024	122	NA	NA	NA	NA	NA	NA	Mouth	shannon	Medium
YearC	0.362311526132619	3.97586816133406	1	4.63382259207156	0.0333164212388518	0.0282493555648679	0.95	0	0.108512976414071	Mouth	shannon	Medium
(Intercept)	4.76159403192733	363.867214329339	1	4.20405444034443	0.0418628225395086	NA	NA	NA	NA	Nose	faith_pd	Low
Age_num	1.37452575022877	1800.91947342246	1	20.8074902348628	9.68672217243855e-06	0.102201881933765	0.95	0.0321953194219757	0.194544605596186	Nose	faith_pd	Low
Residuals	NA	14713.7548558767	170	NA	NA	NA	NA	NA	NA	Nose	faith_pd	Low
U1.Age_num	-1.45395064053636	1917.7662779728	1	22.1575165855889	NA	0.108412511881447	0.95	0.0360557198903185	0.201945556113855	Nose	faith_pd	Low
(Intercept)	6.49951906108686	447.703200876356	1	2.50368059326768	0.116835831931647	NA	NA	NA	NA	Nose	faith_pd	Medium
Age_num	2.41548192281029	1621.88415841385	1	9.07002649076547	0.00331318191256328	0.0739894061678689	0.95	0.0061394374805053	0.190365673164591	Nose	faith_pd	Medium
Residuals	NA	17345.3477259763	97	NA	NA	NA	NA	NA	NA	Nose	faith_pd	Medium
U1.Age_num	-2.58498713747761	1797.56324405414	1	10.0524727107157	NA	0.0822559683371323	0.95	0.00896420943776961	0.201308735033949	Nose	faith_pd	Medium
(Intercept)	17.3807537883724	4848.14288087271	1	1.04924157069636	0.307137191379595	NA	NA	NA	NA	Nose	observed_otus	Low
Age_num	8.44214479989606	67935.0856688695	1	14.7026021600595	0.000177058011285746	0.0730016632820833	0.95	0.0158677361316567	0.158179834682027	Nose	observed_otus	Low
Residuals	NA	785504.799625285	170	NA	NA	NA	NA	NA	NA	Nose	observed_otus	Low
U1.Age_num	-9.20951461853774	76943.1274301994	1	16.6521346137843	NA	0.0825307589901846	0.95	0.020826631509817	0.170369949053606	Nose	observed_otus	Low
(Intercept)	12.7576257213483	1724.91408928984	1	0.174035888642326	0.677471473587661	NA	NA	NA	NA	Nose	observed_otus	Medium
Age_num	16.7955482275357	78415.2655090747	1	7.91173919949505	0.00594541690895632	0.0640499286803024	0.95	0.00320367715515388	0.176725818381322	Nose	observed_otus	Medium
Residuals	NA	961391.744923252	97	NA	NA	NA	NA	NA	NA	Nose	observed_otus	Medium
U1.Age_num	-18.2631072070944	89725.6768811152	1	9.0529076242099	NA	0.0738440432231277	0.95	0.00609287666698814	0.190170202451179	Nose	observed_otus	Medium
(Intercept)	0.452420843777921	9.25954143133774	1	478.610596265125	1.06162047983413e-39	NA	NA	NA	NA	Nose	pielou_e	Medium
Age_num	0.00175608565254854	0.0600501193253005	1	3.1038927390945	0.0811922678523816	0.0204055606747887	0.95	0	0.10469997844521	Nose	pielou_e	Medium
Residuals	NA	1.91532450149649	99	NA	NA	NA	NA	NA	NA	Nose	pielou_e	Medium
(Intercept)	2.72984475182987	358.623905218165	1	327.261401407142	1.79504161712434e-41	NA	NA	NA	NA	Nose	shannon	Low
Age_num	0.0304653795940096	14.8273923728785	1	13.5307020434398	0.000314632709412208	0.0671776919625895	0.95	0.0130466042762732	0.150542078626454	Nose	shannon	Low
Residuals	NA	186.291642170294	170	NA	NA	NA	NA	NA	NA	Nose	shannon	Low
U1.Age_num	-0.0660548277003426	7.356256910025	1	6.71293494509582	NA	0.0317892251152716	0.95	0.000555139265047727	0.0995427531056094	Nose	shannon	Low
(Intercept)	1.64562935764778	31.1477441306139	1	19.1283309197009	3.07623424135448e-05	NA	NA	NA	NA	Nose	shannon	Medium
Age_num	0.201426241056008	13.6169527152576	1	8.36238979500804	0.00472855412951007	0.0679422981436241	0.95	0.00429372381991286	0.182136028789943	Nose	shannon	Medium
Residuals	NA	157.950591369045	97	NA	NA	NA	NA	NA	NA	Nose	shannon	Medium
U1.Age_num	-0.209693861252975	14.1527318686604	1	8.69142039520782	NA	0.0707638226388192	0.95	0.00513164421823684	0.186001282910042	Nose	shannon	Medium
(Intercept)	43.6658487796831	250888.405649488	1	1656.99893298517	1.38941112318838e-76	NA	NA	NA	NA	Right_Arm	faith_pd	Low
GenderC	-3.63575875139247	434.83741347929	1	2.87189489004864	0.0924966323878841	0.0137769101664728	0.95	0	0.0771588508389103	Right_Arm	faith_pd	Low
Residuals	NA	19986.2950340408	132	NA	NA	NA	NA	NA	NA	Right_Arm	faith_pd	Low
(Intercept)	21.4844719708994	464.446283127239	1	2.01260983253981	0.158876136999346	NA	NA	NA	NA	Right_Arm	faith_pd	Medium
Age_num	17.5226175974769	827.576810520979	1	3.58618270087469	0.06093771077105	0.0223744970241596	0.95	0	0.103953687906909	Right_Arm	faith_pd	Medium
Residuals	NA	24922.9620996347	108	NA	NA	NA	NA	NA	NA	Right_Arm	faith_pd	Medium
U1.Age_num	-17.7692517958712	851.048692918986	1	3.68789465986459	NA	0.0232340182848629	0.95	0	0.105588698402483	Right_Arm	faith_pd	Medium
YearC	-7.64294764889768	1493.17697510067	1	6.4704633689282	0.0123832008243251	0.0461757573437749	0.95	0.000110654090675914	0.144142978513261	Right_Arm	faith_pd	Medium
(Intercept)	325.767468239565	13964076.0103002	1	1128.33259946935	1.55001001230381e-66	NA	NA	NA	NA	Right_Arm	observed_otus	Low
GenderC	-28.9823049001816	27631.3834344612	1	2.2326855478689	0.137505485485856	0.00911529296985349	0.95	0	0.0664015510321152	Right_Arm	observed_otus	Low
Residuals	NA	1633612.31805808	132	NA	NA	NA	NA	NA	NA	Right_Arm	observed_otus	Low
(Intercept)	261.372413793037	166483.245551927	1	10.2988634559386	0.00174868206059832	NA	NA	NA	NA	Right_Arm	observed_otus	Medium
Age_num	55.3655172414026	42330.8926108726	1	2.61864238363494	0.108504942243384	0.0141219818170351	0.95	0	0.0865435833671429	Right_Arm	observed_otus	Medium
