Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Expo	Body_Site	Indice
(Intercept)	52443.4382674471	1	1624.46688790714	5.92157150527803e-100	NA	NA	NA	NA	Low	Feces	faith_pd
Age_num	31.7648406045719	1	0.983934949089808	0.322387339321892	0.00473082187492344	0.95	0	0.0404060320311243	Low	Feces	faith_pd
Age_num:Gender	41.7996460585609	1	1.2947690538917	0.256486243546062	0.00621604210116629	0.95	0	0.0443471600306694	Low	Feces	faith_pd
Age_num:Year	9.71388942655722	1	0.300893538782875	0.583913917727551	0.00145148211204687	0.95	0	0.0290443678713053	Low	Feces	faith_pd
Gender	178.54641217521	1	5.53058197775116	0.0196260882380748	0.0260225230942535	0.95	0.000422466180164659	0.0827676901682781	Low	Feces	faith_pd
Residuals	6682.67959302482	207	NA	NA	NA	NA	NA	NA	Low	Feces	faith_pd
Year	84.524267464496	1	2.61818977276915	0.107167612471324	0.0124902794724414	0.95	0	0.0583750682516073	Low	Feces	faith_pd
Year:Gender	95.3824745907959	1	2.95452923717952	0.0871322440990419	0.0140722338685148	0.95	0	0.0615224785040629	Low	Feces	faith_pd
(Intercept)	16781.1192992177	1	586.611929489704	6.74450859840816e-46	NA	NA	NA	NA	Medium	Feces	faith_pd
Age_num	326.381572944044	1	11.4092106039384	0.00101134672194619	0.0939731882547002	0.95	0.0165455691551703	0.208345462607186	Medium	Feces	faith_pd
Age_num:Gender	51.2686905509713	1	1.79218233004981	0.183420688039902	0.0160313744011067	0.95	0	0.0902602174207201	Medium	Feces	faith_pd
Age_num:Year	11.8582499233103	1	0.414524844490466	0.521021904005191	0.00375426009462333	0.95	0	0.0576368243401392	Medium	Feces	faith_pd
Gender	112.545882681095	1	3.9342284753769	0.0498045125779605	0.0345306983513488	0.95	0	0.124575745314073	Medium	Feces	faith_pd
Residuals	3146.75346701476	110	NA	NA	NA	NA	NA	NA	Medium	Feces	faith_pd
Year	9.18075757784754	1	0.320928647302414	0.57220415097008	0.00290904591936883	0.95	0	0.0541182185924152	Medium	Feces	faith_pd
Year:Gender	30.4351920935078	1	1.06391274860877	0.304587014106469	0.00957928387609502	0.95	0	0.0753183676569975	Medium	Feces	faith_pd
(Intercept)	44.4727166079679	1	8899.90069584326	4.53365367308454e-172	NA	NA	NA	NA	Low	Feces	pielou_e
Age_num	0.000164234555424247	1	0.0328666954840328	0.85631597639088	0.000158751100772686	0.95	0	0.0167956377772163	Low	Feces	pielou_e
Age_num:Gender	0.0101954618610389	1	2.04032056128648	0.154684463423725	0.00976041634364171	0.95	0	0.052639980505289	Low	Feces	pielou_e
Age_num:Year	9.3936364570002e-05	1	0.0187985888915039	0.891078735209258	9.08061925759463e-05	0.95	0	0.0141076236645661	Low	Feces	pielou_e
Gender	0.0146354264056521	1	2.92884832738752	0.0885074133305495	0.013951623851239	0.95	0	0.0612863923376896	Low	Feces	pielou_e
Residuals	1.03437697255982	207	NA	NA	NA	NA	NA	NA	Low	Feces	pielou_e
Year	0.000671067488979826	1	0.134294337464856	0.714394714763538	0.000648344292259314	0.95	0	0.0240066461431319	Low	Feces	pielou_e
Year:Gender	0.00242767892249751	1	0.485828233118293	0.486576193921402	0.00234150080155087	0.95	0	0.0328186170370322	Low	Feces	pielou_e
(Intercept)	22.8936881234614	1	3840.04517178573	2.23749885981459e-87	NA	NA	NA	NA	Medium	Feces	pielou_e
Age_num	0.00374658225988433	1	0.628428457668342	0.429638805233238	0.00568053317243685	0.95	0	0.0643374806289155	Medium	Feces	pielou_e
Age_num:Gender	0.00443855368025492	1	0.744495449473156	0.390101933080787	0.00672264067348458	0.95	0	0.0675158381189179	Medium	Feces	pielou_e
Age_num:Year	0.0011200365190015	1	0.187867974955409	0.665545837616649	0.00170497876406965	0.95	0	0.0477546511475819	Medium	Feces	pielou_e
Gender	0.000527247915844686	1	0.0884372933995991	0.766734174668334	0.000803329537360064	0.95	0	0.0401400450397593	Medium	Feces	pielou_e
Residuals	0.65580105986349	110	NA	NA	NA	NA	NA	NA	Medium	Feces	pielou_e
Year	0.0126459437121658	1	2.12115211986359	0.148125696525765	0.0189183938958812	0.95	0	0.0962383085753576	Medium	Feces	pielou_e
Year:Gender	0.000407619130589065	1	0.0683715033551952	0.794211756513511	0.000621173025650798	0.95	0	0.0383981448608542	Medium	Feces	pielou_e
(Intercept)	2641.55250991404	1	4688.18424164028	3.66906798529731e-144	NA	NA	NA	NA	Low	Feces	shannon
Age_num	0.0771624924881422	1	0.136946731125313	0.711713791986728	0.00066114101461135	0.95	0	0.0241165910212277	Low	Feces	shannon
Age_num:Gender	1.21533626438922	1	2.15695894805018	0.143443326931354	0.0103126329570795	0.95	0	0.0538363123990193	Low	Feces	shannon
Age_num:Year	0.148151511501709	1	0.262936882379106	0.608656371882402	0.0012686150564793	0.95	0	0.0281114999185641	Low	Feces	shannon
Gender	2.44458037105872	1	4.33860130737798	0.0384858688680131	0.0205291474465082	0.95	0	0.0734426715919117	Low	Feces	shannon
Residuals	116.633933601742	207	NA	NA	NA	NA	NA	NA	Low	Feces	shannon
Year	0.408434375132359	1	0.724882656715398	0.395530820870779	0.00348962843278306	0.95	0	0.0367405584993036	Low	Feces	shannon
Year:Gender	1.33093116881176	1	2.36211489603673	0.125840666345266	0.0112824371171914	0.95	0	0.0558906332084759	Low	Feces	shannon
(Intercept)	1200.51206905017	1	1829.83691620399	2.19892748068064e-70	NA	NA	NA	NA	Medium	Feces	shannon
Age_num	0.402627567781934	1	0.613690445937548	0.435085117746449	0.00554805145243291	0.95	0	0.0639156129176546	Medium	Feces	shannon
Age_num:Gender	0.0159098899299437	1	0.0242500718460802	0.876535720867717	0.000220406608818009	0.95	0	0.0284424670568978	Medium	Feces	shannon
Age_num:Year	7.30966207669326e-05	1	0.000111414869185715	0.991597345980189	1.01286142125356e-06	0.95	0	0	Medium	Feces	shannon
Gender	0.2795874156851	1	0.426150963173104	0.515245693670408	0.00385914893760287	0.95	0	0.0580412646466007	Medium	Feces	shannon
Residuals	72.1683590630965	110	NA	NA	NA	NA	NA	NA	Medium	Feces	shannon
Year	0.872359948451106	1	1.32966296553486	0.251364720331989	0.0119434742737566	0.95	0	0.0811175644506463	Medium	Feces	shannon
Year:Gender	0.0133869637656261	1	0.0204045932779407	0.886674203521479	0.000185461900030019	0.95	0	0.0282975046709446	Medium	Feces	shannon
(Intercept)	3990864.01630459	1	847.03030261011	4.24655096247925e-75	NA	NA	NA	NA	Low	Feces	observed_otus
Age_num	5171.39506433834	1	1.09758897029996	0.296017552138197	0.00527439542058613	0.95	0	0.0418936108955694	Low	Feces	observed_otus
Age_num:Gender	3300.90776597883	1	0.70059237610759	0.403549996201056	0.0033730880017855	0.95	0	0.0363714799510513	Low	Feces	observed_otus
Age_num:Year	8633.64068233466	1	1.8324240690507	0.177317687504194	0.00877461475256739	0.95	0	0.0504495531913281	Low	Feces	observed_otus
Gender	18136.8153709199	1	3.84940006706595	0.0511040984706825	0.0182566327712649	0.95	0	0.0693892543578278	Low	Feces	observed_otus
Residuals	975300.232859922	207	NA	NA	NA	NA	NA	NA	Low	Feces	observed_otus
Year	11440.6039740215	1	2.42818051594025	0.120698697861958	0.0115943351556522	0.95	0	0.0565396107656274	Low	Feces	observed_otus
Year:Gender	27993.2321975541	1	5.94134900173447	0.0156339595725181	0.0279013401088488	0.95	0.000848886834215371	0.0858315023877537	Low	Feces	observed_otus
(Intercept)	1162737.50838665	1	254.275432740703	2.2626202778962e-30	NA	NA	NA	NA	Medium	Feces	observed_otus
Age_num	34500.6823493519	1	7.54484642574532	0.00703331317924651	0.0641869605956013	0.95	0.00498243773124821	0.169249569469273	Medium	Feces	observed_otus
Age_num:Gender	5382.71512345161	1	1.17712915207725	0.280313337650997	0.0105878714539127	0.95	0	0.0778499910379022	Medium	Feces	observed_otus
Age_num:Year	2165.21741980762	1	0.473504632325162	0.492827840647477	0.00428613751234802	0.95	0	0.0596307557803287	Medium	Feces	observed_otus
Gender	14385.9909039108	1	3.14602740180919	0.0788792334104815	0.0278050186476003	0.95	0	0.113008729428649	Medium	Feces	observed_otus
Residuals	503002.293788082	110	NA	NA	NA	NA	NA	NA	Medium	Feces	observed_otus
Year	1315.40476271091	1	0.287661757580694	0.592805842212718	0.00260828594057051	0.95	0	0.0527216118965639	Medium	Feces	observed_otus
Year:Gender	5182.03074725589	1	1.13324211288448	0.28941605480447	0.0101971479580645	0.95	0	0.0768803448358477	Medium	Feces	observed_otus
(Intercept)	8524.49916307102	1	569.687751680381	1.63651239121523e-57	NA	NA	NA	NA	Low	Mouth	faith_pd
Age_num	701.334356574357	1	46.8698025690361	1.16869271708363e-10	0.207508051257585	0.95	0.112084412136542	0.307807173766243	Low	Mouth	faith_pd
Age_num:Gender	0.0322384862656691	1	0.00215448091517571	0.963030120139736	1.20360613615152e-05	0.95	0	0.00448208963852983	Low	Mouth	faith_pd
Age_num:Year	37.8384292060605	1	2.5287221277352	0.113555310917573	0.0139301488937702	0.95	0	0.0659422741244945	Low	Mouth	faith_pd
Gender	1.11402962427019	1	0.0744500081254258	0.785278983483253	0.000415748914052494	0.95	0	0.0240375363175381	Low	Mouth	faith_pd
Residuals	2678.45911324034	179	NA	NA	NA	NA	NA	NA	Low	Mouth	faith_pd
Year	27.4768408849391	1	1.83626268330599	0.177097218640864	0.0101542835273133	0.95	0	0.0579450946790079	Low	Mouth	faith_pd
Year:Gender	3.79379017452857	1	0.253536982470144	0.61521460425425	0.00141440435005162	0.95	0	0.0320860010814822	Low	Mouth	faith_pd
(Intercept)	4744.86979417152	1	224.961867726926	4.13335895401583e-29	NA	NA	NA	NA	Medium	Mouth	faith_pd
Age_num	36.1628367396261	1	1.71453794269409	0.19294152760923	0.0143218858140255	0.95	0	0.08325925478395	Medium	Mouth	faith_pd
Age_num:Gender	1.80303964321138	1	0.0854849939656444	0.770510959266819	0.000723924654838085	0.95	0	0.0372213115329708	Medium	Mouth	faith_pd
Age_num:Year	0.380313268496138	1	0.0180312604799647	0.893409512428982	0.000152783945702056	0.95	0	0.0241308372243211	Medium	Mouth	faith_pd
Gender	2.86959533066693	1	0.136052105370789	0.712898711198278	0.00115165610282488	0.95	0	0.04147816496429	Medium	Mouth	faith_pd
Residuals	2488.84240413526	118	NA	NA	NA	NA	NA	NA	Medium	Mouth	faith_pd
Year	0.0256006174458889	1	0.00121376622866746	0.972266869864398	1.0286048676347e-05	0.95	0	0.00175614377822351	Medium	Mouth	faith_pd
Year:Gender	7.1489318962158	1	0.338942297974291	0.561551097952078	0.00286416534906019	0.95	0	0.051310758089794	Medium	Mouth	faith_pd
(Intercept)	28.1582520772275	1	3131.34766994225	2.44624218868531e-115	NA	NA	NA	NA	Low	Mouth	pielou_e
Age_num	0.0239801224523821	1	2.66671739283578	0.10422494273848	0.0146791742103716	0.95	0	0.0674435621803382	Low	Mouth	pielou_e
Age_num:Gender	2.01953252654263e-06	1	0.000224582777866251	0.988059970869534	1.2546508161636e-06	0.95	0	0	Low	Mouth	pielou_e
Age_num:Year	0.0202545154226998	1	2.25241003954126	0.135168331275839	0.0124269246353739	0.95	0	0.0628518496724531	Low	Mouth	pielou_e
Gender	0.00635718493113435	1	0.706952838084672	0.401579011018237	0.0039339203459848	0.95	0	0.0419368103958221	Low	Mouth	pielou_e
Residuals	1.60963510063278	179	NA	NA	NA	NA	NA	NA	Low	Mouth	pielou_e
Year	0.154522356780139	1	17.1837094337539	5.23033049014733e-05	0.0875898895140241	0.95	0.0247963717739263	0.174260869731613	Low	Mouth	pielou_e
Year:Gender	0.000158523911506503	1	0.0176287036412843	0.894521944914766	9.84746796667053e-05	0.95	0	0.0159228934412089	Low	Mouth	pielou_e
(Intercept)	19.1518628510453	1	1908.81284035678	1.03971405476597e-74	NA	NA	NA	NA	Medium	Mouth	pielou_e
Age_num	0.0650574331796137	1	6.48409320700216	0.0121720048221035	0.052087724945065	0.95	0.00240234066866843	0.148019657875601	Medium	Mouth	pielou_e
Age_num:Gender	0.0141490779113909	1	1.41019919610574	0.23740827413249	0.0118097047454865	0.95	0	0.0775976488119994	Medium	Mouth	pielou_e
Age_num:Year	0.00269296928662777	1	0.268400749993934	0.605376605800129	0.00226942064230075	0.95	0	0.0485208430050819	Medium	Mouth	pielou_e
Gender	0.00927991068199452	1	0.924902856966125	0.338157531017802	0.00777720086161036	0.95	0	0.0676547121263622	Medium	Mouth	pielou_e
Residuals	1.18393996972534	118	NA	NA	NA	NA	NA	NA	Medium	Mouth	pielou_e
Year	0.0499913867857695	1	4.9825023156278	0.0274924356438782	0.0405139123193353	0.95	0	0.130482530804855	Medium	Mouth	pielou_e
Year:Gender	0.0317663561749768	1	3.16606426381302	0.0777578822815585	0.0261299587722813	0.95	0	0.106415919327762	Medium	Mouth	pielou_e
(Intercept)	1097.12014886181	1	1461.23784107792	4.96468576159225e-88	NA	NA	NA	NA	Low	Mouth	shannon
Age_num	6.30137548012931	1	8.39270731829873	0.00423756567590157	0.0447867339044479	0.95	0.00459294921807274	0.117242805695065	Low	Mouth	shannon
Age_num:Gender	0.000304783686488008	1	0.000405936812391551	0.983947851061493	2.26779827826116e-06	0.95	0	0	Low	Mouth	shannon
Age_num:Year	2.52272918538085	1	3.35998509579328	0.0684598022103284	0.0184250129984837	0.95	0	0.0746346431811913	Low	Mouth	shannon
Gender	0.692914828396368	1	0.922882848288953	0.338015035468624	0.00512932448435216	0.95	0	0.0454946068416907	Low	Mouth	shannon
Residuals	134.395990252617	179	NA	NA	NA	NA	NA	NA	Low	Mouth	shannon
Year	10.2301274466928	1	13.6253530296255	0.000296042121569277	0.0707349931632826	0.95	0.0156946220473819	0.152855673862727	Low	Mouth	shannon
Year:Gender	5.32879438708278e-05	1	7.09734117435279e-05	0.99328762542845	3.96499349735287e-07	0.95	0	0	Low	Mouth	shannon
(Intercept)	710.554952037349	1	817.472804816417	6.98291252054265e-55	NA	NA	NA	NA	Medium	Mouth	shannon
Age_num	2.35834544690121	1	2.71320784082443	0.102181243476042	0.02247647866671	0.95	0	0.0997008554367995	Medium	Mouth	shannon
Age_num:Gender	1.04396585178088	1	1.20105234724058	0.275343137015811	0.0100758535565763	0.95	0	0.0734409950236675	Medium	Mouth	shannon
Age_num:Year	0.0550603486225754	1	0.0633453295816317	0.801722378525648	0.000536536800687792	0.95	0	0.0346077484896389	Medium	Mouth	shannon
Gender	1.17858326708635	1	1.35592576801032	0.246593667373798	0.0113603556696951	0.95	0	0.0765425131938855	Medium	Mouth	shannon
Residuals	102.566695609203	118	NA	NA	NA	NA	NA	NA	Medium	Mouth	shannon
Year	2.57866329213276	1	2.96667711350508	0.0876162266783134	0.0245247466847535	0.95	0	0.103504426929403	Medium	Mouth	shannon
Year:Gender	1.08528455654911	1	1.24858831526307	0.266092199490868	0.0104704662160202	0.95	0	0.0744081605516407	Medium	Mouth	shannon
(Intercept)	420159.766717587	1	280.016054508466	1.89434983491083e-38	NA	NA	NA	NA	Low	Mouth	observed_otus
Age_num	31611.5515898456	1	21.0675620424864	8.32313268288735e-06	0.10530223804103	0.95	0.0355095074954548	0.195751327119478	Low	Mouth	observed_otus
Age_num:Gender	2.94611314707436	1	0.00196344115959533	0.964706107363088	1.0968824709237e-05	0.95	0	0.003840627991911	Low	Mouth	observed_otus
Age_num:Year	4959.49903059006	1	3.30526495131515	0.0707299845313257	0.0181303867016557	0.95	0	0.0740858226109832	Low	Mouth	observed_otus
Gender	829.00731848547	1	0.55249306780241	0.458275275442395	0.00307705595373593	0.95	0	0.0390977339535973	Low	Mouth	observed_otus
Residuals	268586.736480048	179	NA	NA	NA	NA	NA	NA	Low	Mouth	observed_otus
