"Index"	"Age_grp2"	"Variable"	"Body_Site"	"Year"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.disp"
"bc"	"Adults"	"Expo"	"Feces"	"2015"	1	0.640061281444154	0.0356020992879947	2.13435913630142	0.005	0.0185551816086323	0.694
"bc"	"Adults"	"Expo"	"Feces"	"2016"	1	0.468549222875517	0.0226443447828182	1.71629062565931	0.013	0.00933687773245557	0.363
"bc"	"Adults"	"Expo"	"Mouth"	"2015"	1	1.33438407544157	0.103276214855057	7.12270845393456	0.001	0.0873142037569289	0.057
"bc"	"Adults"	"Expo"	"Mouth"	"2016"	1	0.635060493970496	0.0568220001706874	3.76608308785092	0.001	0.0414294647809623	0.071
"bc"	"Adults"	"Expo"	"Nose"	"2015"	1	0.845812609451089	0.0682510755007041	4.37893139323321	0.001	0.0569045503843182	0.575
"bc"	"Adults"	"Expo"	"Nose"	"2016"	1	0.583234024601982	0.0503534180093739	3.16582326693263	0.006	0.0359975672122645	0.182
"bc"	"Adults"	"Expo"	"Right_Arm"	"2015"	1	1.68270141939563	0.106631077966048	7.63309028949077	0.001	0.0925981311525785	0.163
"bc"	"Adults"	"Expo"	"Right_Arm"	"2016"	1	0.629600902446804	0.0756667465775515	2.3185523770426	0.001	0.0421013194086563	0.14
"bc"	"Adults"	"Expo"	"Right_Hand"	"2015"	1	1.79204446174149	0.10315968306018	7.32872331523921	0.001	0.0887261543609752	0.464
"bc"	"Adults"	"Expo"	"Right_Hand"	"2016"	1	0.772577580058213	0.061148755490648	2.73046775634677	0.001	0.0386865562366322	0.034
"bc"	"Adults"	"Gender"	"Feces"	"2015"	1	0.232666874694154	0.0129416188949892	0.775854881579011	0.838	-0.00374976014755522	NA
"bc"	"Adults"	"Gender"	"Feces"	"2016"	1	0.292443251230509	0.0141333834034153	1.07121639759416	0.341	0.000936180607681313	NA
"bc"	"Adults"	"Gender"	"Mouth"	"2015"	1	0.12359789609358	0.00956600360235083	0.659743919008434	0.832	-0.00534491752628567	NA
