geneID	term	Estimate	Std.Error	t.value	p.value	fdr	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAA20117.1	Western	-0.8449965055573055	0.04115445437840229	-20.532321915577544	1.423307693976694e-46	1.0105484627234528e-44	L20800	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAA21532.1	Western	4.923015540691185	0.33274010329215564	14.795377809835658	1.0629200060280459e-31	1.0062309390398834e-30	U05883	cepA beta-lactamase	cephalosporin	antibiotic inactivation
AAA22081.1	Western	0.9250859744481903	0.1317841977461499	7.019703350398221	6.087832976056858e-11	1.3098064887879907e-10	M58472.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAA23033.2	Western	0.8647677421351142	0.10347214680713179	8.357492995163316	3.016047189019735e-14	8.565574016816048e-14	M18896.2	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAA25550.1	Western	-0.9203918008441196	0.13914159443381424	-6.614785496668462	5.382522889735893e-10	1.0765045779471785e-9	J03306	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAA26793	Western	-0.34154766149326454	0.03414259023207386	-10.00356619611161	1.4033270802682259e-18	5.2440117210023175e-18	L06249	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAA26832.1	Western	-0.7112912789805743	0.039047282466734154	-18.21615318778074	9.256707921019548e-41	3.286131311961939e-39	M57437	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AAA27459.1	Western	-3.1971520074835484	0.5071806783389216	-6.303773278498326	2.739764722554691e-9	5.119034086878502e-9	M72415.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
AAA27471.1	Western	4.1052419664222475	0.5480211537786566	7.491028289904913	4.453344666664718e-12	1.0366802338793277e-11	M37699	tetracycline inactivation enzyme	glycylcycline;tetracycline antibiotic	antibiotic inactivation
AAA50325.1	Western	-0.3083728025907033	0.06004981146727415	-5.135283443125543	8.142509429063896e-7	1.2300386584330567e-6	L36601	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AAA65953.1	Western	0.32600119595374827	0.06282786546125434	5.188799485075483	6.374310802011343e-7	9.946726745995722e-7	M97297	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAA65954.1	Western	0.42005994539741437	0.08168254028717	5.1425915981630395	7.87554796309225e-7	1.2025030223216124e-6	M97297	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAA99504.1	Western	0.32113714765586343	0.039115569532108665	8.209957096297746	7.167851021947994e-14	1.8848793428085467e-13	L20573	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAB05622.1	Western	0.6966753475251355	0.06710313133503087	10.382158532167328	1.330932513888117e-19	5.90601303037852e-19	U35369	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAB41957.1	Western	1.0902090532573487	0.09271176718682124	11.759122777376197	2.2827919164560367e-23	1.2966258085470288e-22	U57969	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAB58161.1	Western	1.0633885367708291	0.08249721033219197	12.889993885719004	1.753924302876597e-26	1.2452862550423839e-25	U97042	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAB95639.1	Western	-0.7096200697451636	0.056246809245114104	-12.616183553679624	9.958057633623506e-26	5.891850766560575e-25	U82085	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AAC32027.1	Western	-0.47989591439851587	0.04551283057508363	-10.544189590819228	4.833323976945652e-20	2.2877733490876088e-19	M80346	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AAC60780.1	Western	-0.7657949383323527	0.22126666377009588	-3.460959392997589	6.913108005403913e-4	9.089456821919961e-4	U46859	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
AAC73565.1	Western	-2.372207021744957	0.3187132790261878	-7.443075572480428	5.831658432937224e-12	1.2938992148079465e-11	U00096.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAC74000.1	Western	-0.20865523291180113	0.023074586043296375	-9.042642521096045	5.055189938417097e-16	1.6693883052447157e-15	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAC75089.1	Western	-0.2591728834560217	0.06351876444800855	-4.080257002923288	7.099964857907278e-5	9.88426480218464e-5	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAC75136.1	Western	-1.6398035308110728	0.20275530288752805	-8.08759873333967	1.4630561448507328e-13	3.7773449557964376e-13	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAC75137.1	Western	-0.41185199028395864	0.14710023097932307	-2.799805190937124	0.005747306721401965	0.006975363713154521	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAC75271.1	Western	-1.0515029098503332	0.08251900127667364	-12.742554970155348	4.467455416163155e-26	2.7581681265007307e-25	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAC75314.1	Western	-0.8282973033515745	0.055409257596793056	-14.948716862063032	4.0781257683241595e-32	4.454568146938697e-31	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAC75429.1	Western	-0.941104027200507	0.15622063428557	-6.024197965296804	1.1395348222782864e-8	2.0482777818166667e-8	U00096	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;lincosamide antibiotic;carbapenem;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;aminocoumarin antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;triclosan;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
AAC75733.1	Western	-1.3542065266308696	0.19868130114623045	-6.815973716792637	1.8376917219403666e-10	3.837532713463707e-10	U00096	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
AAC76093.1	Western	-0.5649179815405281	0.0382449272787862	-14.771056496527274	1.237532083302314e-31	1.0983097239308038e-30	U00096.3	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
AAC76297.1	Western	-2.2644719017887143	0.296949882684375	-7.6257713298900285	2.0789906253436024e-12	5.089942565496405e-12	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAD23513.1	Western	2.3385064149218007	0.37296197472115705	6.2700933967066534	3.259288394790915e-9	6.010635741042986e-9	AF118110.1	CfxA beta-lactamase	cephamycin	antibiotic inactivation
AAD51345.1	Western	1.0820900335410832	0.06887060768897221	15.711928061211967	3.5609036756611607e-34	6.32060402429856e-33	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAD51348.1	Western	-0.33253973848918844	0.029484068069534457	-11.278624703515655	4.767377950061192e-22	2.507287662624775e-21	AF173226.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAF01499.1	Western	-0.07144290162210455	0.02973259051132552	-2.4028482010301473	0.017419887115018858	0.020110763986444537	L42544	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAF42062.1	Western	0.784260271677706	0.09422444743840906	8.32332046510909	3.687534704531218e-14	1.0267253491047705e-13	AE002098.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAF63432	Western	1.6260245004076388	0.12746216827212192	12.756918562190167	4.0784693676700063e-26	2.6324665918597314e-25	AF170730	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
AAF67494.2	Western	-0.24619598618950178	0.03615652652739324	-6.809171395459586	1.906206976556033e-10	3.922918705376184e-10	AF170880	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;aminocoumarin antibiotic;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AAF74725.1	Western	8.233286055564278	0.2943758053042562	27.9686234643321	2.7665632330554043e-63	3.928519790938674e-61	AF251288.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
AAF86220.1	Western	0.5810449575196776	0.07032554875656068	8.262217185549822	5.278420783518528e-14	1.4414149062685213e-13	AF242872	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
AAF86641.1	Western	0.364550794555218	0.06142771872265405	5.934630198480326	1.7848886642262954e-8	3.053664943616072e-8	AF162694	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAG05882.1	Western	1.7515007923155261	0.10026516292844759	17.46868743997806	7.972465349471925e-39	2.2641801592500266e-37	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
AAG06942.1	Western	-0.4997230909213989	0.0562632569698658	-8.8818727858049	1.3318802117570124e-15	4.111456305858603e-15	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAG07763.1	Western	1.5395652099785853	0.09012343098271361	17.082851742227682	8.148359951847453e-38	1.6529530188033403e-36	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
